"primaryName","primaryName_fr","description","description_fr","classification"
"Dairy Products/Eggs/Honey Manufacturing/Processing (Including Creameries)","Produits laitiers, œufs, miel; produits de laiteries – Production, transformation","As a creamery and/or honey producer, we process things such as milk, butter, cheese, ice cream, other dairy products, and honey.","En tant que crémerie ou producteur de miel, nous transformons des produits laitiers comme le lait, le beurre et le fromage, ou le miel.","CONTRACTING"
"Interior Designers","Décorateur d’intérieur","As an interior designer, I plan, design, and furnish interiors of residential, commercial, or industrial buildings.","En tant que décorateur intérieur, je fais la conception de plans, le design et l’ameublement d’intérieurs de bâtiments résidentiels, commerciaux ou industriels.","PROFESSIONAL_SERVICES"
"Stationery Maker / Creator (including binding)","Papeterie (y compris la reliure) – Fabricant / Créateur","As a stationery maker/creator (including binding), I design beautiful, colourful themed stationery products that I make from home or from a small commercial location.","En tant que fabricant/créateur de papeterie (y compris la reliure), je conçois de magnifiques produits de papeterie à thème coloré que je fabrique à domicile ou dans un petit local commercial.","CONTRACTING"
"Sign Rental/Lease","Affichage publicitaire – Location","As a sign rental/lease company, I provide portable or mobile billboards, posters, displays, posts, placards and ads for rent or lease.","À mon entreprise de location d’affichage publicitaire, j’offre des panneaux d’affichage, des affiches, des panneaux, publications, des écriteaux et des publicités portables ou mobiles en location.",NULL
"Dry & Canned Goods (No Dietary/Health Supplements) - Wholesale","Aliments secs ou en conserve (suppléments diététiques exclus) – Commerce de gros","As a dry and canned goods wholesaler, I sell dry and canned foods to grocers. I do not sell any dietary or health supplements.","En tant que grossiste d’aliments secs ou en conserve, je vends des aliments secs ou en conserve à des épiciers. Je ne vends pas de suppléments diététiques.",NULL
"Appliances (Electrical) - Wholesale","Électroménagers – Commerce de gros","As an electrical appliances wholesaler, I sell household appliances such as dishwashers, clothes dryers, kitchen stoves, washing machines, trash compactors and microwave ovens, typically to a retail store.","En tant que grossiste d’électroménagers, je vends des appareils comme des lave-vaisselle, des sécheuses, des cuisinières, des machines à laver, des compacteurs de déchets ménagers et des fours à micro-ondes, généralement à des magasins de détail.",NULL
"Marble/Decorative Stone/Clay - Wholesale","Marbre, pierre décorative, argile – Commerce de gros","As a marble/decorative stone/clay wholesaler, I sell marble, decorative stones and clay, typically to retail stores.","En tant que grossiste de marbre, de pierre décorative et d’argile, je vends du marbre, des pierres décoratives et de l’argile, généralement à des magasins de détail.",NULL
"Women's Clothing (No Children's/No Fur) - Wholesale","Vêtements pour femmes (enfants exclus; sans fourrure) – Commerce de gros","As a women's clothing wholesaler, I sell women's clothing such as shirts, blouses, wedding dresses, bridal wear, dresses, pants, sweaters and jackets, typically to retail stores. I do not sell any children's clothing or items with fur.","En tant que grossiste de vêtements pour femmes, je vends des vêtements pour femmes comme des chemises, des chemisiers, des robes de mariée, des robes, des pantalons, des chandails et des vestes, généralement à des magasins de détail. Je ne vends pas de vêtements pour enfants ni d’articles qui comportent de la fourrure.",NULL
"Veterinarians (No Veterinary Hospitals)","Vétérinaires (hôpitaux vétérinaires exclus)","As a veterinarian, I protect the health and well-being and treat injuries and illnesses of domestic pets using a variety of medical equipment.","Dans mon rôle de vétérinaire, je protège la santé et le bien-être d’animaux domestiques et je soigne leurs blessures et leurs maladies à l’aide de divers équipements médicaux.","PROFESSIONAL_SERVICES"
"Cleaning / Janitorial Service (Commercial)","Service de nettoyage et d’entretien (commercial)","As a janitor, I clean building floors by sweeping, mopping, scrubbing or vacuuming, clean windows and mirrors, clean and supply restrooms, remove waste and empty trash and replenish cleaning and maintenance supplies.","En tant que concierge, je nettoie des planchers à l’aide d’un balai, d’une vadrouille ou d’un aspirateur, je lave les fenêtres et les miroirs, je nettoie et approvisionne les salles de toilettes, je ramasse les déchets, je vide les poubelles et je gère l’approvisionnement de produits pour le nettoyage et l’entretien.",NULL
"Shoe/Boot/Hat Repair & Cleaning - Retail","Chaussures, bottes et chapeaux – Nettoyage et réparation – Commerce de détail","As a shoe/boot/hat retailer, I offer repair and cleaning services for shoes, boots and hats, including shining.","À mon commerce de détail lié aux chaussures, aux bottes et aux chapeaux, j’offre des services de réparation, de nettoyage et de cirage de chaussures, de bottes et de chapeaux.","RETAIL"
"Pet Food & Accessories (No Live Animals) - Retail","Aliments et accessoires pour animaux de compagnie (animaux exclus) – Commerce de détail","As a pet food & accessories retailer, I sell household pet food, toys, ID tags, grooming supplies and crates online and in store. I do not sell any live animals.","En tant que détaillant d’aliments et d’accessoires pour animaux de compagnie, je vends en magasin et en ligne de la nourriture, des jouets, des médailles d’identification, du matériel de toilettage et des cages pour animaux de compagnie. Je ne vends pas d’animaux.","RETAIL"
"Camera & Photography Supply Store","Appareils photo et matériel de photographie – Commerce de détail","As a camera & photography supply store, I sell cameras, tripods, lenses, film and other photography equipment online and in store.","En ligne et à mon magasin d’appareils photo et de matériel de photographie, je vends des appareils photo, des trépieds, des objectifs, de la pellicule et d’autres matériels de photographie.","RETAIL"
"Grocery Store / Farmers Market Vendor","Épicier, vendeur dans un marché agricole","As a grocery store, I sell a variety of fine food, organics, frozen, local, farm to table, and non-alcoholic beverages.","En tant qu’épicier, je vends divers articles d’épicerie fine, des aliments biologiques, surgelés, locaux ou provenant de ferme, ainsi que des boissons non alcoolisées.","RETAIL"
"Furniture/Appliances (Including Off-Premises Installation/Repair) - Retail","Meubles, électroménagers (installation/réparation hors des lieux incluse) – Commerce de détail","As a furniture/appliances retailer, I sell various household appliances such as stoves, lamps, oven, lighting, microwaves, dishwashers, couches, chairs and tables online and in store. I may also offer off premises repair and installation services.","En tant que détaillant de meubles et électroménagers, je vends en magasin et en ligne des cuisinières, des lave-vaisselle, des fours à micro-ondes, des lampes, des luminaires, des divans, des chaises, des tables, etc. Je peux aussi offrir des services de réparation ou d’installation hors des lieux.","RETAIL"
"Project Manager (Non-Construction)","Chargé de projet (sauf en construction)","As a project manager, I plan, execute, and close projects by helping to define the project, building a comprehensive work plan, and managing the budget.","En tant que chargé de projets, je planifie, j’exécute et je mène à terme des projets en participant à la définition du projet, à l’établissement d’un plan de travail exhaustif et à la gestion du budget.","PROFESSIONAL_SERVICES"
"Marine Supply Store (no installation, repairs or rental)","Magasin d’équipement nautique (sans installation, réparation, location)","As a marine supply store, I sell boat parts, gauges & instruments, filters, navigation equipment, interior fans, cleaning products, safety equipment and waste & water tanks online and in store. I do not do any installations, repairs or rentals.","À mon magasin d’équipement nautique et en ligne, je vends des pièces de bateau, des jauges, des instruments de bord, des filtres, du matériel de navigation, des ventilateurs intérieurs, des produits de nettoyage, du matériel de sécurité ainsi que des réservoirs à déchets et à eau. Je ne fais pas d’installations, de réparations ou de locations.","RETAIL"
"Graphic Design (No Web Design)","Conception graphique (conception Web exclue)","As a graphic designer, I create visual concepts by hand or using computer software and develop the overall layout and production design for advertisements, brochures, magazines, and corporate reports.","En tant que concepteur graphique, je crée des concepts visuels, à l’aide de logiciels ou à la main, et conçois la présentation globale et le plan de production de publicités, de brochures, de magazines et de rapports d’entreprise.","PROFESSIONAL_SERVICES"
"Respiratory Technologist","Techniciens respiratoires","As a respiratory technologist, I assist physicians with the diagnosis and treatment of lung disorders.","En tant que technicien(ne) respiratoire (inhalothérapeute au Québec), j’aide les médecins dans le diagnostic et le traitement des troubles des poumons.",NULL
"Psychotherapist","Psychothérapeutes","As a registered psychotherapist, I work with individuals, couples and families in individual and group settings.  I enter into a psychotherapeutic relationship with my clients where we work together to bring about positive change in our client's thinking, feeling, behaviour and social functioning.","En tant que psychothérapeute autorisé, j’aide des individus, des couples et des familles au moyen de rencontres individuelles ou de groupe. J’entreprends une relation psychothérapeutique avec mes clients afin d’amener un changement positif dans leur façon de penser, leurs sentiments, leur comportement et leur fonctionnement social.",NULL
"Electrical Contractors - Commercial (No Industrial)","Entrepreneurs électriciens (commercial – non industriel)","As a commercial electrical contractor, I install and maintain the wriring and control equipment through which electricity flows for the electrical and power systems of your building.","En tant qu’entrepreneur électricien du secteur commercial, j’installe et j’entretiens le câblage et le matériel de transmission d’électricité vers les systèmes électriques et d’alimentation des bâtiments.","CONTRACTING"
"Handyman / Handywoman / Miscellaneous Home Repair","Homme à tout faire, femme à tout faire – Réparations résidentielles diverses","As a handyman/woman, I am skilled at performing a wide range of minor home repairs. These projects typically include minor trade skills, repairs and maintenance work (interior and exterior).","En tant qu’homme ou femme à tout faire, j’ai les compétences nécessaires pour effectuer diverses réparations résidentielles mineures. Mes projets, qui exigent généralement des compétences professionnelles de base, comprennent des travaux de réparation et d’entretien (à l’intérieur et à l’extérieur).","CONTRACTING"
"Nurses - Licensed Practical Nurse (L.P.N., R.P.N., R.N.A.)","Infirmières auxiliaires autorisées","As a licensed practical nurse, I provide nursing care under the direction of medical practitioners, registered nurses or other health team members.  I can work in a variety of settings, including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community health centres, companies or private homes.","En tant qu’infirmier(ière) auxiliaire, je fournis des soins de santé sous la supervision de professionnels de la santé, notamment d’infirmiers autorisés ou d’autres membres de l’équipe soignante. Je peux exercer mes activités dans divers milieux, notamment des hôpitaux, des foyers de soins infirmiers, des établissements de soins de longue durée, des centres de réadaptation, des cabinets de médecin, des cliniques, des centres de santé communautaires, des entreprises ou des résidences privées.",NULL
"Clock Maker","Horloges – Fabrication","As a clock maker, we manufacture and repair functional and/or decorative clocks for home and office use.","En tant qu’horloger, je fabrique et répare des horloges fonctionnelles et/ou décoratives pour la maison et le bureau.","CONTRACTING"
"Paint/Wallpaper Application (no spray application)","Peinture et pose de papier peint (pulvérisation exclue)","As a painter, I prepare, protect, and decorate interior and exterior surfaces by applying materials such as paint, wallpaper, special coatings and other finishes, including staining.","En tant qu’entrepreneur en peinture, je prépare, protège et décore des surfaces intérieures et extérieures en y appliquant des matériaux comme de la peinture, du papier peint, des revêtements spéciaux et d’autres types de finis, y compris de la teinture.","CONTRACTING"
"Plumber - Residential","Plombier – Secteur résidentiel","As a residential plumber, I install, repair and maintain pipes, fixtures and other plumbing equipment used for water distribution and waste water disposal.","En tant que plombier du secteur résidentiel, j’installe, je répare et j’entretiens des tuyaux, des appareils sanitaires et d’autre matériel de plomberie servant à la distribution d’eau et au rejet des eaux usées.","CONTRACTING"
"Electrical Contractors - Residential","Entrepreneurs électriciens (résidentiel)","As a residential electrical contractor, I install and maintain the wriring and control equipment through which electricity flows for the electrical and power systems of your home.","En tant qu’entrepreneur électricien du secteur résidentiel, j’installe et j’entretiens le câblage et le matériel de transmission d’électricité vers les systèmes électriques et d’alimentation des habitations.","CONTRACTING"
"Art or Music Therapist","Art-thérapeutes / Musicothérapeutes","As an art or music therapist, I engage clients in non-verbal and creative assignments to communicate feelings, thoughts and conflicts and/ or promote self-awareness, psychological health and healing and communication. ","En tant qu’art-thérapeute ou musicothérapeute, j’assigne aux clients des activités non verbales et créatives pour les amener à exprimer des sentiments, des pensées et des conflits, et pour favoriser la connaissance de soi, la santé psychologique, la guérison et la communication.",NULL
"Car Wash (Drive Through)","Stations de lavage automatique","As an automated car wash, we provide a quick and easy - remain in your vehicle - mechanical solution to cleaning the exterior of your car.","En tant que station de lavage automatique, nous offrons une solution mécanique rapide et simple (les clients restent dans leur véhicule) pour laver l’extérieur des voitures.","RETAIL"
"Auto Repair Garage (No Heavy Trucks)","Ateliers de réparation d’automobiles","As an auto repair garage, we fix engine components and related parts that wear out during normal driving/vehicle use.","En tant qu’atelier de réparation automobile, nous réparons les composantes de moteurs et les pièces connexes qui s’usent pendant la conduite ou l’utilisation normale d’un véhicule.","RETAIL"
"Draperies - Wholesale","Draperies – Commerce de gros","As a draperies wholesaler, I sell curtains and drapes.","En tant que grossiste de draperies, je vends des rideaux et des draperies.",NULL
"Nurses - Nurse Practitioner (N.P.)","Infirmières praticiennes","As a nurse practitioner, I provide primary health care and treatment in conjunction with physicians and in collaboration with other health professionals.  I provide a range of health services to patients, delivering preventive and continuous care toward the management of patients' health.  I can work in a variety of settings, including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community health centres, companies or private homes.","En tant qu’infirmier(ière) praticien(ne), je fournis des soins de santé et des traitements de première ligne en collaboration avec des médecins et d’autres professionnels de la santé. Je fournis aux patients une gamme de services de santé préventifs et continus en vue d’assurer une prise en charge adéquate de leur santé. Je peux exercer mes activités dans divers milieux, notamment des hôpitaux, des foyers de soins infirmiers, des établissements de soins de longue durée, des centres de réadaptation, des cabinets de médecin, des cliniques, des centres de santé communautaires, des entreprises ou des résidences privées.",NULL
"Brick, Pottery, Clay Decorative Items Manufacturing","Articles décoratifs (brique, poterie, argile) – Fabrication","As a brick/pottery/clay item manufacturer, I make decorative products such as plates, bowls, pots, pottery and sculptures.","En tant que fabricant de produits de brique, de poterie ou d’argile, je crée des articles décoratifs comme des assiettes, des bols, des pots, des articles de poterie et des sculptures.",NULL
"Electronics (Including Personal Computers) - Wholesale","Électronique grand public (ordinateurs personnels inclus) – Commerce de gros","As an electronics wholesaler, I sell personal computers, laptops, bluetooth speakers, chargers and tablets, typically to a retail store.","En tant que grossiste de produits électroniques, je vends des ordinateurs de bureau et portatifs, des haut-parleurs Bluetooth, des chargeurs et des tablettes, généralement à des magasins de détail.",NULL
"Signs Installation - Low Rise (3 stories or less)","Enseignes – Installation (immeubles de faible hauteur – 3 étages ou moins)","As a sign installer, I install and remove signs and graphics such as banners, window graphics, outdoor signage and vinyl signs for display.","En tant qu’installateur d’enseignes, j’installe et je retire des affiches et des éléments graphiques comme des bannières, des pellicules graphiques de fenêtre, des enseignes extérieures et des affiches en vinyle.","CONTRACTING"
"Home Stager (excluding Interior Design)","Spécialiste de la mise en valeur de propriété (décoration d’intérieur exclue)","As a home stager or interior decorator, I make spaces more aesthetically pleasing for their inhabitants or prospective buyers.","En tant que spécialiste de la mise en valeur de propriété ou de décorateur d’intérieur, j’embellis des espaces pour les rendre plus attrayants aux yeux des occupants ou des acheteurs potentiels.","PROFESSIONAL_SERVICES"
"Marketing Consultant","Conseiller en marketing","As a marketing consultant, I work with companies to create and implement marketing strategies to support their products and services.","En tant que conseiller en marketing, j’aide les entreprises à créer et à mettre en place des stratégies de marketing pour appuyer leurs produits et services.","PROFESSIONAL_SERVICES"
"Carpets/Rugs/Draperies/Linens/Tile (Includes Installation/Repair Off Premises, No Fine/Antique Rugs) - Retail","Moquettes, tapis, draperies, literie, carreaux (avec installation et réparation hors des lieux; tapis fins et anciens exclus) – Commerce de détail","As a carpets/rugs/draperies/linens/tile retailer, I sell, install or repair various floor, wall and window coverings. I do not sell any fine/antique rugs.","En tant que détaillant de moquettes, tapis, draperies, literie et carreaux, je vends, j’installe ou je répare divers objets qui servent à couvrir les planchers, les murs et les fenêtres. Je ne vends pas de tapis fins ou anciens.","RETAIL"
"Men's Clothing (No Children's/No Fur) - Wholesale","Vêtements pour hommes (enfants exclus; sans fourrure) – Commerce de gros","As a men's clothing wholesaler, I sell men's clothing such as shirts, pants, sweaters, shorts, suits, blazers and jackets, typically to a retail store. I do not sell any children's clothing or items with fur.","En tant que grossiste de vêtements pour hommes, je vends des vêtements pour hommes comme des chemises, des pantalons, des chandails, des shorts, des complets, des vestes et des vestons, généralement à des magasins de détail. Je ne vends pas de vêtements pour enfants ni d’articles qui comportent de la fourrure.",NULL
"Coffee Roaster / Tea & Spice Production
","Torréfacteur de café/producteur de thés ou d’épices","As a coffee roaster, I specialize in roasting coffee to bring out a certain flavour. As a tea and spice producer, I make tea from herbs and spices from seeds, fruits, roots, bark, or other plant substances primarily used for flavoring.","En tant que torréfacteur, je torréfie des grains de café pour en faire ressortir certaines saveurs. En tant que producteur de thé et d’épices, je confectionne des thés à partir d’herbes et d’épices provenant de graines, de fruits, de racines, d’écorces et d’autres substances végétales utilisées principalement comme aromatisants.",NULL
"Pet Food & Supplies Manufacturing","Aliments pour animaux de compagnie – Production","As a pet food manufacturer, I manufacture healthy food & treats for domestic pets.","En tant que fabricant de nourriture pour animaux de compagnie, je fabrique des aliments et des gâteries santé pour les animaux domestiques.","CONTRACTING"
"Burglar / Fire Alarm Installation (No Monitoring)","Installation d’alarmes vol et incendie (surveillance exclue)","As an alarm system installer, I install burglar and/or fire alarm systems in residential and commercial properties to help make sure that burglars and/or fires don't go undetected. ","En tant qu’installateur de systèmes d’alarme, j’installe des systèmes d’alarme incendie et vol dans des propriétés résidentielles et commerciales afin de contribuer à la détection des cambrioleurs et des incendies.","CONTRACTING"
"Light Farm/Garden/Lawn Equipment & Supplies - Wholesale","Matériel léger d’exploitation agricole, de pelouse et de jardin – Commerce de gros","As a light farm/garden/lawn equipment & supplies wholesaler, I sell soil, fertilizer, flowers, landscaping and interlock items.","En tant que grossiste de matériel léger d’exploitation agricole, de pelouse et de jardin, je vends de la terre, de l’engrais, des fleurs, des produits d’aménagement paysager et du pavé uni.",NULL
"Shoes/Boots - Wholesale","Chaussures, bottes – Commerce de gros","As a shoes/boots wholesaler, I sell shoes, boots, sandals, sneakers, dresses, slippers, heels, wedges and flip flops, typically to retail stores.","En tant que grossiste de chaussures et de bottes, je vends des chaussures, des bottes, des sandales, des chaussures de sport, des chaussures habillées, des pantoufles, des chaussures à talon, des chaussures à talon compensé et des sandales de plage, généralement à des magasins de détail.",NULL
"Certified Engineer","Ingénieur diplômé","As a certified engineer or firm of certified engineers, I am/we are licensed by the applicable provincial or territorial engineering regulator, and my/our operations are limited entirely to design work.","En tant qu’ingénieur diplômé ou société d’ingénierie, je suis/nous sommes autorisé(s) par l’organisme provincial ou territorial régissant les activités d’ingénierie, et mes/nos activités de ne concernent que la conception.",NULL
"Furniture/Appliances - Retail","Meubles, électroménagers – Commerce de détail","As a furniture/appliances retailer, I sell various household appliances such as stoves, lamps, oven, lighting, microwaves, dishwashers, couches, chairs and tables online and in store. I do not do any repairs or installation off premises.","En tant que détaillant de meubles et électroménagers, je vends en magasin et en ligne des cuisinières, des lave-vaisselle, des fours à micro-ondes, des lampes, des luminaires, des divans, des chaises, des tables, etc. Je ne fais pas de réparations ou d’installations hors des lieux.","RETAIL"
"Travel Agencies","Agences de voyages","As a travel agent, we help our clients with their travel plans by booking reservations, and assisting with the selection of destination, transporation and lodgings.","À titre d’agent de voyages, vous aidez vos clients à planifier leurs voyages en effectuant leurs réservations et en les aidant à choisir une destination, un moyen de transport et un hébergement.","PROFESSIONAL_SERVICES"
"Educational Tutor/ Music Teacher (Sole Proprietor)","Tuteur pédagogique, professeur de musique (propriétaire unique)","As an educational tutor/music teacher, I provide one on one educational support/tutoring services or music lessons.","En tant que tuteur pédagogique ou professeur de musique, j’offre des services individuels de soutien/tutorat pédagogique ou des cours individuels de musique.",NULL
"Cleaning / Housekeeping Service (Residential)","Service de nettoyage et d’entretien ménager (résidentiel)","As a residential housekeeper, I offer cleaning services such as vacuuming, sweeping, emptying trash, dusting, cleaning door handles and light fixtures and changing linen.","En tant que fournisseur de services d’entretien ménager, j’offre des services de nettoyage comme passer la balayeuse ou le balai, vider les poubelles, épousseter les meubles, laver les poignées de porte et les luminaires, changer la literie, etc.",NULL
"Clothing (Men's, no Children's) - Retail","Vêtements (pour hommes, enfants exclus) – Commerce de détail","As men's clothing retailer, I sell suits, ties, pocket squares and jackets online and in store. I do not sell any children's clothes.","En tant que détaillant de vêtements pour hommes, je vends en magasin et en ligne des complets, des cravates, des mouchoirs et des vestes. Je ne vends pas de vêtements pour enfants.","RETAIL"
"Air Duct Cleaning","Nettoyage de conduits d’air","As an air duct cleaner, I use specialized blowers, vacuums and brushes to clean out dirt, dust and debris from the supply, intake and return ducts throughout your home.","En tant que nettoyeur de conduits d’aération, j’utilise des souffleurs, des brosses et des aspirateurs spéciaux pour retirer la saleté, la poussière et les débris des conduits d’entrée, de répartition et de sortie d’air dans les maisons.","CONTRACTING"
"Commodity Brokers / Dealers","Courtiers et négociants en marchandises","As a commodity broker/dealer, I executes orders to buy or sell commodity contracts
on behalf of the clients and charge them a commission for my services","En tant que courtier ou négociant en marchandises, j’exécute des ordres d’achat ou de vente de contrats de marchandises au nom de mes clients et je touche une commission pour mes services.",NULL
"Decorative Items - Wholesale","Articles décoratifs – Commerce de gros"," As a decorative items wholesaler, I sell pictures, paintings, art, bric-a-brac, décor, mirrors, statues, sculptures, vases and frames, typically to a retail store.","En tant que grossiste d’articles décoratifs, je vends des peintures, des tableaux, des objets d’art, bibelots, des articles de décor, des miroirs, des statues, des sculptures, des vases et des cadres, généralement à des magasins de détail.",NULL
"Piano Tuning","Accordeurs de pianos","As a piano tuner, I adjust the tension of the strings of an acoustic piano so that the musical intervals between strings are in tune.","En tant qu’accordeur de piano, j’ajuste la tension des cordes de pianos acoustiques pour que les notes produites par les différentes cordes soient en accord.",NULL
"Music/Sound Recording Studio","Studio d’enregistrement (sons et musique)","As a music/sound recording studio, I record, mix, and produce audio of instrumental or vocal musical performances.","À mon studio d’enregistrement, je fais l’enregistrement, le mixage et la production de contenu audio tiré de prestations musicales (instruments de musique, voix, etc.).",NULL
"Equipment for Restaurants/Bars/Hotels/Offices/Stores - Wholesale","Équipement pour restaurants, bars, hôtels, bureaux, magasins – Commerce de gros","As a restaurant/bar/hotel/office/store equipment wholesaler, I sell foodservice equipment, desks, chairs, carts, filing cabinets, bed & bath linens and other accessories.","En tant que grossiste d’équipement pour les restaurants, les bars, les hôtels, les bureaux et les magasins, je vends de l’équipement de restauration, des bureaux, des chaises, des chariots, des classeurs, de la literie et divers accessoires.",NULL
"Beer / Wine Stores (Brew Your Own) Store","Bières et vins (centre de brassage libre-service)","As a brew your own beer/wine store, I assist customers in brewing their own beer or wine, according to their taste preferences. I also help them bottle their beer or wine once it has been fermented.","À mon centre de brassage libre-service, j’aide mes clients à produire leur propres bière ou vin à leur goût. Je les aide aussi à embouteiller leur bière ou leur vin après la fermentation.","RETAIL"
"Meat/Fish/Poultry - Wholesale","Viande, poisson, volaille – Commerce de gros","As a meat/fish/poultry wholesaler, I sell chicken, pork, beef and seafood, typically to a retail store.","En tant que grossiste de viande, de poisson et de volaille, je vends du poulet, du porc, du bœuf et des fruits de mer, généralement à des magasins de détail.",NULL
"Coffee Shop/Restaurants (No liquor)","Cafés","As a coffee shop operator, we make and serve snacks, sandwiches, as well as non-alcoholic hot and cold beverages such as coffee, tea, and coffee/tea based beverages.","En tant qu’exploitants de café, nous préparons et servons des collations, des sandwichs, ainsi que des boissons chaudes et froides non alcoolisées comme du café, du thé et des boissons à base de café ou de thé.","CONTRACTING"
"Septic Tanks (Installation/Service/Repair)","Fosses septiques (installation, entretien, réparation)","As a septic tank services provider, I install, repair, maintain and remove residential septic systems.","En tant que fournisseur de services pour fosses septiques, j’installe, répare, entretiens et enlève des systèmes de fosse septique résidentiels.","CONTRACTING"
"Blinds / Drape / Curtain Manufacturing","Stores, draps, rideaux – Fabrication","As a blinds/drape/curtain manufacturer, I make drapes, shutters and curtains.","En tant que fabricant de stores, de draperies et de rideaux, je confectionne des draperies, des volets et des rideaux.",NULL
"Window/Door/Siding Contractor","Entrepreneur/entrepreneuse en fenêtres, portes et revêtement","As a window/door/siding contractor, I take measurements and install or repair windows, doors, awnings and sidings for a home or business. My duties may include removing old doors and windows, fixing units and sealing fittings.","En tant qu’entrepreneur en fenêtres, portes et revêtement, je prends des mesures et j’installe ou répare des fenêtres, des portes, des auvents et des revêtements sur des maisons ou des bâtiments d’entreprise. Mes tâches peuvent comprendre l’enlèvement ou la réparation de vieilles portes, fenêtres et garnitures d’étanchéité.","CONTRACTING"
"Advertising Agency","Agence de publicité","As an advertising agency, we design advertisements (including digital) and commercials, providing our customers with the creative side of advertising to attract targeted consumer attention.","En tant qu’agence de publicité, nous concevons des publicités (y compris des publicités numériques) et des messages publicitaires, pour faire bénéficier nos clients de notre créativité et attirer l’attention de leur clientèle cible.","PROFESSIONAL_SERVICES"
"Notary Public (Non-lawyer)","Notaires publics (avocats exclus)","As a notary public, I serve the pulic as an impartial witness in the signing of important documents.","En tant que notaire public, je sers le public à titre de témoin impartial lors de la signature de documents importants.",NULL
"Restaurants - Take Out/Delivery (No Table Service)","Restaurant – Commandes à emporter et livraison; sans service aux tables)","As a Food Take Out establishment, we prepare various types of food for delivery to or pick-up by the customer.","En tant qu’établissement de restauration à emporter, nous préparons différents types d’aliments qui seront livrés ou récupérés par le client.","CONTRACTING"
"Retail - Audio / Video Media Sales / Rentals (Music / Movies / Etc)
","Commerce de détail – Vente et location d’enregistrements audio et vidéo (musique, films, etc.)","As an audio video retailer, we sell audio and video equipment/systems to our customers for home entertainment purposes.","En tant que détaillants audio et vidéo, nous vendons des équipements et des systèmes audio et vidéo à nos clients à des fins de divertissement à domicile.","RETAIL"
"Retail - Sporting Goods (No Firearms / Ammunition)","Commerce de détail – Articles de sport (armes à feu et munitions exclues) ","As a sporting goods retail store, I sell primarily sporting equipment, athletic apparel and other related merchandise that reflects a sports theme online and in store.","En tant que détaillant d’équipements sportifs, je vends principalement, en magasin et en ligne, des articles et des vêtements de sport, ainsi que d’autres marchandises liées aux sports.","RETAIL"
"Personal Support Worker (PSW)","Préposés aux services de soutiens à la personne","As a personal support worker, I provide or assist with personal care for the elderly, the chronically ill and people with disabilities who are living in the community and in long term care facilities.  I also provide personal care for individuals in select ambulatory care settings.","En tant que préposé(e) aux bénéficiaires (ou de préposé(e) aux services de soutien à la personne), je fournis des soins personnels aux personnes âgées, aux personnes souffrant d’une maladie chronique et aux personnes ayant un handicap, ou j’aide ces personnes avec leurs soins personnels. Je peux fournir ces soins à domicile, dans un établissement de soins de longue durée ou dans certains milieux de soins ambulatoires.",NULL
"Web Design","Conception Web","As a web designer, I prepare content for the internet by styling and laying out pages with content, including text and images.","En tant que concepteur de sites Web, je crée des modèles de style pour les pages d’un site Web et j’y insère du contenu (texte et images).","PROFESSIONAL_SERVICES"
"Men's & Women's Clothing Manufacturing","Vêtements pour hommes et femmes – Fabrication","As a men's and women's clothing manufacturer, I make men's and women's clothing such as shirts, blouses, shorts, pants, leggings and sweaters.","En tant que fabricant de vêtements pour hommes et femmes, je confectionne des vêtements pour hommes et femmes comme des chemises, des chemisiers, des shorts, des pantalons, des leggings et des chandails.",NULL
"Dry Cleaning (Customer Drop-Off Only)","Nettoyage à sec (point de service seulement)","As a customer drop-off dry cleaner, I am a kiosk that accepts clothing that needs to be dry cleaned. I then send it out to a dry cleaner to be cleaned.","À mon point de service pour le nettoyage à sec, les clients m’apportent des vêtements qui doivent être nettoyés à sec. J’envoie ensuite ces vêtements à un nettoyeur à sec.",NULL
"Iron / Steel Non-Structural (including Railings)","Fer, acier (y compris rampes) – Non structural","As a non-structural iron/steel contractor, I create and may install things like ornamental or artistic pieces, and external and internal railings for residential and commercial stairs.","En tant qu’entrepreneur en fer et en acier ornemental, je crée et peux installer entre autres des pièces ornementales ou artistiques et des garde-corps d’escaliers intérieurs ou extérieurs de maisons ou de bâtiments commerciaux.","CONTRACTING"
"Swimming Pool Maintenance","Entretien de piscines","As a swimming pool maintenance contractor, I maintain pipes, filters, wires, lines, valves and pool heaters for swimming pools and hot tubs.","En tant qu’entrepreneur en entretien de piscines, j’entretiens des tuyaux, des filtres, des fils électriques, des toiles, des vannes et des chauffe-eaux pour les piscines et les spas.","CONTRACTING"
"Pet Sitter - Household Pets","Gardien d’animaux de compagnie","As a pet sitter, I go to the pet's home and provide care for household pets such as dogs, cats and birds.","En tant que gardien d’animaux de compagnie, je garde des animaux de compagnie comme des chiens, des chats et des oiseaux à leur domicile.","PROFESSIONAL_SERVICES"
"Broom / Brushes / Mops Manufacturing","Balais, brosses, vadrouilles – Fabrication","As a broom/brushes/mops manufacturer, I make brooms, brushes and mops for cleaning.","En tant que fabricant de balais, de brosses et d vadrouilles, je fais des balais, des brosses et des vadrouilles pour le nettoyage.",NULL
